high_school,high_school_name,zip,county,students_9_to_12,ec_own_ses_hs,ec_own_ses_se_hs,ec_parent_ses_hs,ec_parent_ses_se_hs,ec_high_own_ses_hs,ec_high_own_ses_se_hs,ec_high_parent_ses_hs,ec_high_parent_ses_se_hs,exposure_own_ses_hs,exposure_parent_ses_hs,bias_own_ses_hs,bias_parent_ses_hs,bias_high_own_ses_hs,bias_high_parent_ses_hs,clustering_hs,volunteering_rate_hs
2.50E+11,Agawam HS,1001,25013,1165,1.5854,0.027829999,1.39372,0.03723,1.71435,0.019400001,1.4380701,0.03325,1.62014,1.37143,0.021439999,-0.016249999,-0.058150001,-0.048590001,0.45109001,0.052340001
2.50E+11,Amherst Regional HS,1002,25015,923,1.30846,0.044840001,1.28991,0.052499998,1.70963,0.023870001,1.37874,0.047109999,1.51037,1.31977,0.13368,0.02263,-0.13192999,-0.044690002,0.4691,0.17393
2.50E+11,Quabbin Regional HS,1005,25027,657,1.4406199,0.035069998,1.26292,0.044240002,1.59473,0.02868,1.30401,0.0429,1.46471,1.26073,0.016450001,-0.00174,-0.088770002,-0.034329999,0.46744999,0.057009999
2.50E+11,Belchertown HS,1007,25015,706,1.55089,0.03816,1.2695,0.047139999,1.69538,0.028589999,1.28274,0.046190001,1.56164,1.26656,0.00688,-0.00232,-0.085639998,-0.01277,0.52919,0.066140004
2.50E+11,Chicopee Comprehensive HS,1020,25013,1347,1.1932499,0.033690002,0.90402001,0.040910002,1.47207,0.026079999,0.97530001,0.040720001,1.20436,0.88801003,0.00922,-0.01804,-0.22228999,-0.098300003,0.39599001,0.064390004
2.50E+11,Chicopee HS,1020,25013,940,1.06214,0.03946,0.83363003,0.046870001,1.41812,0.03043,0.96662003,0.04769,1.14341,0.83076,0.071079999,-0.00346,-0.24025001,-0.16354001,0.39908001,0.068240002
604341,The Williston Northampton School,1027,25015,403,,,,,,,,,,,,,,,0.64087683,0.087899119
2.50E+11,Easthampton HS,1027,25015,462,1.28205,0.048459999,1.12863,0.056170002,1.4992,0.036880001,1.2032599,0.054049999,1.29566,1.12964,0.0105,0.0009,-0.15708999,-0.065169998,0.54021001,0.081869997
2.51E+11,Hampshire Regional HS,1027,25015,416,1.57196,0.040440001,1.3193099,0.055539999,1.66834,0.03131,1.3285,0.053380001,1.5337,1.28692,-0.02495,-0.02516,-0.087789997,-0.032310002,0.58835,0.069300003
2.50E+11,East Longmeadow HS,1028,25013,834,1.5745699,0.035920002,1.5561399,0.043230001,1.69537,0.02424,1.60297,0.035870001,1.59699,1.54441,0.01403,-0.0076,-0.0616,-0.037919998,0.51536,0.051729999
